sorted,query,city,location_id,coordinates,name,address,website,email,flagged
true,witch store,New York City,,,Mandy’s Magick - Witch Shop & Healing Center,"29 East Bridge St, Morrisville, PA 19067, United States",http://www.mandysmagick.com/,,
true,witch store,New York City,,,Miracles Crystals & Tea,"293 Main St, Huntington, NY 11743, United States",https://www.instagram.com/2022miracles?igsh=MXYzM2NiY2prM2I2aA%3D%3D&utm_source=qr,,
true,witch store,New York City,,,Crystal and Sage Boutique,"2 E Carver St, Huntington, NY 11743, United States",http://www.crystalandsageboutique.com/,,
true,fantasy gift shop,Tampa,,,Unique Awards & Engraving,"6329 River Rd, New Port Richey, FL 34652, United States",http://www.uniqueawards.net/,,
true,fantasy gift shop,Tampa,,,Fantasy Adult Gift Shop,"3281 Teal Rd, Lafayette, IN 47905, United States",,,
true,fantasy gift shop,Tampa,,,Fantasy Faire,"1180 Seven Seas Drive, Lake Buena Vista, FL 32830, United States",https://disneyworld.disney.go.com/shops/magic-kingdom/fantasy-faire/?CMP=OKC-90002974_GM_WDW_shops_fantasyfaire_NA,,
true,fantasy gift shop,Tampa,,,Silly Dilly's at The Enchanted Spot,"4203 W El Prado Blvd A, Tampa, FL 33629, United States",http://www.sillydillys.com/,,
true,fantasy gift shop,Tampa,,,Conworlds Emporium,"9 S Safford Ave, Tarpon Springs, FL 34689, United States",http://www.conworldsemporium.com/,,
true,fantasy gift shop,Tampa,,,Two Fairies And A Dwarf,"5148 State Rd 60, Dover, FL 33527, United States",http://www.twofairiesandadwarf.com/,,
true,fantasy gift shop,Tampa,,,Flower Fantasy,"33016 US Hwy 19 N, Palm Harbor, FL 34684, United States",https://www.flowerfantasyfl.net/?utm_source=google&utm_medium=gbp&y_source=1_MTI3MjUyMTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,
true,fantasy gift shop,Tampa,,,Fantasy liquor,"9706 State Rd 52, Hudson, FL 34669, United States",,,
true,fantasy gift shop,Tampa,,,Fantasy Gifts,"2125 Hwy 13 W Suite #100, Burnsville, MN 55337, United States",http://fantasygiftsmn.com/,,
true,fantasy gift shop,Tampa,,,Books-A-Million,"839 Brandon Town Center Dr #224, Brandon, FL 33511, United States",http://www.booksamillion.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-224,,
true,fantasy gift shop,Tampa,,,Pink Brick Boutique,"6234 Grand Blvd Suite 212, New Port Richey, FL 34652, United States",https://pinkbrickboutique.com/,,
true,fantasy gift shop,Tampa,,,Dreams of Fantasy,"5250 International Dr, Orlando, FL 32819, United States",,,
true,fantasy gift shop,Tampa,,,Anime Fix,"968 58th St N, St. Petersburg, FL 33710, United States",http://animefix.com/,,
true,fantasy gift shop,Tampa,,,Barnes & Noble,"23654 US Hwy 19 N, Clearwater, FL 33765, United States",https://stores.barnesandnoble.com/store/2859,,
true,fantasy gift shop,Tampa,,,fantasy Dreams,"7036 W Hillsborough Ave, Tampa, FL 33634, United States",,,
true,fantasy gift shop,Tampa,,,Barnes & Noble,"128 S West Shore Blvd, Tampa, FL 33609, United States",https://stores.barnesandnoble.com/store/3429,,
true,fantasy gift shop,Tampa,,,Phoenix Emporium Games and Collectibles,"2139 Drew St, Clearwater, FL 33765, United States",https://www.facebook.com/share/1C1HyzRUQu/,,
