lat,lng
26.35,-101.24
26.35,-100.97
26.35,-100.7
26.35,-100.43
26.35,-100.16
26.35,-99.89
26.35,-99.62
26.35,-99.35
26.35,-99.08
26.35,-98.81
26.35,-98.54
26.35,-98.27
26.35,-98.0
26.35,-97.73
26.35,-97.46
26.35,-97.19
26.35,-96.92
26.35,-96.65
26.35,-96.38
26.35,-96.11
26.35,-95.84
26.35,-95.57
26.35,-95.3
26.35,-95.03
26.35,-94.76
26.35,-94.49
26.35,-94.22
26.35,-93.95
26.35,-93.68
26.35,-93.41
26.35,-93.14
26.35,-92.87
26.35,-92.6
26.35,-92.33
26.35,-92.06
26.35,-91.79
26.35,-91.52
26.35,-91.25
26.35,-90.98
26.35,-90.71
26.35,-90.44
26.35,-90.17
26.35,-89.9
26.35,-89.63
26.35,-89.36
26.35,-89.09
26.35,-88.82
26.35,-88.55
26.35,-88.28
26.35,-88.01
26.35,-87.74
26.35,-87.47
26.35,-87.2
26.35,-86.93
26.35,-86.66
26.35,-86.39
26.35,-86.12
26.35,-85.85
26.35,-85.58
26.35,-85.31
26.35,-85.04
26.35,-84.77
26.35,-84.5
26.35,-84.23
26.35,-83.96
26.35,-83.69
26.35,-83.42
26.35,-83.15
26.35,-82.88
26.35,-82.61
26.35,-82.34
26.35,-82.07
26.35,-81.8
26.35,-81.53
26.35,-81.26
26.35,-80.99
26.35,-80.72
26.35,-80.45
26.35,-80.18
26.35,-79.91
26.35,-79.64
26.35,-79.37
26.35,-79.1
26.35,-78.83
26.35,-78.56
26.35,-78.29
26.35,-78.02
26.35,-77.75
26.35,-77.48
26.35,-77.21
26.35,-76.94
26.35,-76.67
26.35,-76.4
26.35,-76.13
26.35,-75.86
26.35,-75.59
26.35,-75.32
26.35,-75.05
26.35,-74.78
26.35,-74.51
26.35,-74.24
26.35,-73.97
26.35,-73.7
26.35,-73.43
26.35,-73.16
26.35,-72.89
26.35,-72.62
26.35,-72.35
26.35,-72.08
26.35,-71.81
26.35,-71.54
26.35,-71.27
26.35,-71.0
26.35,-70.73
26.35,-70.46
26.35,-70.19
26.35,-69.92
26.35,-69.65
26.35,-69.38
26.35,-69.11
26.35,-68.84
26.35,-68.57
26.35,-68.3
